LAT,LNG,COMUNA,Tipo_Accdt,Fallecidos,Graves,Menos_Grav,Leves,Hora,Año
-20.2273588,-70.1480139,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,07:12:00,2018
-20.2304174,-70.1387314,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,08:00:00,2018
-20.2330169,-70.1303701,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,08:30:00,2018
-20.2199419,-70.1393996,IQUIQUE,COLISION POR ALCANCE,0,0,0,0,17:10:00,2018
-20.2284457,-70.1370139,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,17:30:00,2018
-20.2680481,-70.0992234,ALTO HOSPICIO,COLISION,0,0,0,2,18:20:00,2018
-20.2442983,-70.1257647,IQUIQUE,CHOQUE LATERAL,0,0,0,0,03:30:00,2018
-20.239015,-70.14459,IQUIQUE,CHOQUE LATERAL,0,0,0,0,17:05:00,2018
-20.2120381,-70.1524706,IQUIQUE,COLISION LATERAL,0,0,0,1,13:30:00,2018
-20.2572701,-70.1337646,IQUIQUE,ATROPELLO,0,0,0,1,08:20:00,2018
-20.2174291,-70.1503467,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,11:40:00,2018
-20.2243124,-70.149352,IQUIQUE,COLISION LATERAL,0,0,0,1,11:30:00,2018
-20.2008047,-70.1331312,IQUIQUE,CHOQUE LATERAL,0,0,0,0,19:50:00,2018
-20.2416754,-70.1438746,IQUIQUE,COLISION LATERAL,0,0,0,0,19:20:00,2018
-20.2444949,-70.1293437,IQUIQUE,CHOQUE POSTERIOR/FRENTE,0,0,0,0,01:25:00,2018
-20.2637153,-70.0986734,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,1,07:45:00,2018
-20.2798006,-70.0969386,ALTO HOSPICIO,CHOQUE POSTERIOR/FRENTE,0,0,0,0,07:50:00,2018
-20.2102667,-70.1445383,IQUIQUE,CHOQUE LATERAL,0,0,0,0,13:30:00,2018
-20.2335869,-70.1361448,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,20:30:00,2018
-20.2117876,-70.1528536,IQUIQUE,COLISION LATERAL,0,0,0,0,17:30:00,2018
-20.2697311,-70.0953563,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,08:00:00,2018
-20.2691828,-70.1257417,IQUIQUE,COLISION POR ALCANCE,0,0,0,2,08:50:00,2018
-20.2440011,-70.1407861,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,08:00:00,2018
-20.2188278,-70.1436951,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,19:00:00,2018
-20.2243764,-70.14781,IQUIQUE,COLISION LATERAL,0,0,0,0,15:00:00,2018
-20.2449594,-70.126604,IQUIQUE,COLISION LATERAL,0,0,0,0,17:05:00,2018
-20.2236518,-70.1423787,IQUIQUE,CHOQUE POSTERIOR,0,0,0,0,07:30:00,2018
-20.2195518,-70.1467191,IQUIQUE,COLISION LATERAL,0,0,0,0,20:30:00,2018
-20.2289833,-70.136419,IQUIQUE,CHOQUE LATERAL,0,0,0,0,11:30:00,2018
-20.2897322,-70.1039479,ALTO HOSPICIO,COLISION,0,0,0,1,15:30:00,2018
-20.2651417,-70.1234944,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,15:55:00,2018
-20.2128747,-70.1432808,IQUIQUE,CHOQUE LATERAL,0,0,0,0,13:29:00,2018
-20.2399771,-70.1431401,IQUIQUE,COLISION LATERAL,0,0,0,1,19:40:00,2018
-20.2277897,-70.1378486,IQUIQUE,COLISION LATERAL,0,1,0,0,07:45:00,2018
-20.2121701,-70.1513327,IQUIQUE,COLISION LATERAL,0,0,0,0,14:40:00,2018
-20.2152135,-70.1441964,IQUIQUE,COLISION LATERAL,0,0,0,1,15:00:00,2018
-20.2624201,-70.1306229,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,19:40:00,2018
-20.2161356,-70.1435283,IQUIQUE,CHOQUE LATERAL,0,0,0,0,03:05:00,2018
-20.2518105,-70.1262557,IQUIQUE,CHOQUE LATERAL,0,0,0,0,07:40:00,2018
-20.2485799,-70.1307633,IQUIQUE,COLISION LATERAL,0,0,0,1,18:10:00,2018
-20.2172503,-70.1411928,IQUIQUE,COLISION LATERAL,0,0,0,3,22:50:00,2018
-20.2181521,-70.1495858,IQUIQUE,CHOQUE LATERAL,0,0,0,0,07:42:00,2018
-20.238243,-70.1441106,IQUIQUE,ATROPELLO,0,0,0,1,10:30:00,2018
-20.2291637,-70.1329638,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,12:00:00,2018
-20.2734785,-70.1058554,ALTO HOSPICIO,COLISION,0,0,0,0,17:30:00,2018
-20.2441837,-70.1409449,IQUIQUE,COLISION POR ALCANCE,0,0,0,1,16:15:00,2018
-20.2709329,-70.1063884,ALTO HOSPICIO,COLISION,0,0,0,0,12:50:00,2018
-20.2796676,-70.0951687,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,13:30:00,2018
-20.2600254,-70.1254437,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,02:00:00,2018
-20.5364084,-70.1805181,IQUIQUE,COLISION LATERAL,0,0,0,0,15:30:00,2018
-20.2155092,-70.1464884,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,07:18:00,2018
-20.2607342,-70.0941636,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,15:10:00,2018
-20.2862298,-70.0441605,ALTO HOSPICIO,COLISION,0,0,0,1,17:30:00,2018
-20.277224,-70.0805248,ALTO HOSPICIO,COLISION,0,0,0,1,12:30:00,2018
-20.2672378,-70.1036395,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,17:50:00,2018
-20.2754099,-70.0942196,ALTO HOSPICIO,COLISION,0,0,0,0,09:00:00,2018
-20.2201278,-70.1361812,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,19:20:00,2018
-20.2753585,-70.1039826,ALTO HOSPICIO,CHOQUE POSTERIOR,0,0,0,1,08:20:00,2018
-20.2643486,-70.1275076,IQUIQUE,CHOQUE POSTERIOR/FRENTE,0,0,0,0,12:00:00,2018
-20.2625059,-70.130789,IQUIQUE,COLISION LATERAL,0,0,0,0,10:45:00,2018
-20.2289498,-70.1369628,IQUIQUE,COLISION FRONTAL,0,0,0,0,15:30:00,2018
-20.2367218,-70.1381753,IQUIQUE,COLISION LATERAL,0,0,0,0,08:34:00,2018
-20.2086726,-70.1445818,IQUIQUE,CHOQUE,0,0,0,0,08:30:00,2018
-20.2298502,-70.1306589,IQUIQUE,ATROPELLO,0,1,0,0,21:40:00,2018
-20.2722984,-70.1285202,IQUIQUE,COLISION LATERAL,0,0,0,0,14:00:00,2018
-20.2307033,-70.1356692,IQUIQUE,CHOQUE LATERAL,0,0,0,0,16:00:00,2018
